words\files;Suspense;NonSuspense;Other;
пешком;0.0;0.375939849624;0.0;
счастью;0.0;0.375939849624;0.0;
считал;0.0;0.375939849624;0.0;
расскажу;0.438212094654;0.0;0.0;
носы;0.438212094654;0.0;0.117910623747;
раскрыв;0.0;0.375939849624;0.0;
волк;0.0;0.375939849624;0.0;
тридцатилетним;0.438212094654;0.0;0.0589553118736;
мелкозубой;0.438212094654;0.0;0.0589553118736;
компании;0.0;0.375939849624;0.0;
сызнова;0.0;0.375939849624;0.0;
верху;0.438212094654;0.0;0.117910623747;
тяжела;0.438212094654;0.0;0.0589553118736;
машинистке;0.438212094654;0.0;0.0;
визжавшую;0.438212094654;0.0;0.0;
дошел;0.438212094654;0.751879699248;1.17910623747;
кожи;0.438212094654;0.0;0.117910623747;
кликнуть;0.876424189308;0.375939849624;0.707463742483;
работал;1.31463628396;0.0;0.353731871242;
переломлена;0.0;0.375939849624;0.0;
масло;0.438212094654;0.0;0.0589553118736;
тисках;0.0;0.375939849624;0.0;
равно;0.438212094654;0.0;0.117910623747;
верхом;0.438212094654;0.0;0.0;
перелома;0.0;0.375939849624;0.0;
нос;0.438212094654;0.0;0.0;
товарищ;0.0;0.375939849624;0.0;
товарища;0.438212094654;0.0;0.0;
разлетелся;2.62927256792;0.751879699248;1.70970404433;
виден;0.876424189308;0.751879699248;0.471642494989;
обе;2.19106047327;0.751879699248;2.94776559368;
клеенке;4.38212094654;0.751879699248;1.88656997996;
взял;1.75284837862;3.00751879699;1.41492748497;
колпака;3.50569675723;0.375939849624;5.24702275675;
мамаше;1.31463628396;0.751879699248;0.117910623747;
колена;0.876424189308;0.375939849624;0.530597806862;
пинцетов;0.0;0.375939849624;0.0;
пятнами;0.0;0.375939849624;0.0589553118736;
видишь;0.0;0.751879699248;0.0;
тела;0.0;0.375939849624;0.0;
гигантский;0.0;0.375939849624;0.0;
волну;1.31463628396;0.0;0.82537436623;
собственные;0.0;0.375939849624;0.235821247494;
осененный;0.0;0.375939849624;0.0;
совершить;0.0;0.375939849624;0.0;
советов;0.0;0.375939849624;0.0;
вытер;3.06748466258;0.0;0.176865935621;
левой;0.438212094654;0.0;0.0589553118736;
гроб;0.0;0.375939849624;0.0;
гробовщику;0.438212094654;0.0;0.0;
громадный;0.438212094654;0.0;0.0;
громкий;0.438212094654;0.0;0.0;
собирался;0.0;0.375939849624;0.0;
грыжа;0.876424189308;0.0;0.0589553118736;
высунувшиеся;3.06748466258;0.0;1.53283810871;
отпустив;0.438212094654;0.0;0.235821247494;
своему;0.0;0.375939849624;0.0;
лежал;0.0;0.375939849624;0.0;
опрокидывая;0.438212094654;0.0;0.0;
дав;0.0;0.375939849624;0.117910623747;
свешивались;0.438212094654;0.0;0.117910623747;
свою;0.0;0.375939849624;0.0;
сдавив;0.0;0.375939849624;0.0;
открыть;0.0;0.751879699248;0.117910623747;
криком;0.438212094654;0.0;0.117910623747;
кричал;0.0;0.375939849624;0.0589553118736;
отдулся;0.438212094654;0.0;0.0589553118736;
остро;0.0;0.375939849624;0.0;
острейшим;0.0;0.375939849624;0.0;
отдышавшись;0.438212094654;0.0;0.0589553118736;
служащего;0.438212094654;0.0;0.0;
глянуть;0.0;0.375939849624;0.0;
госте;0.0;0.375939849624;0.0;
остаток;0.0;0.375939849624;0.0;
слился;0.0;0.375939849624;0.0;
горело;0.0;0.375939849624;0.0;
культю;0.0;0.375939849624;0.0589553118736;
головы;1.31463628396;1.5037593985;0.589553118736;
отдел;0.0;0.375939849624;0.0;
купцы;0.0;0.375939849624;0.0;
слезами;0.0;1.87969924812;0.0;
синеющие;0.0;0.375939849624;0.0;
смятой;0.0;0.375939849624;0.0;
глухо;0.0;0.375939849624;0.0;
осталось;0.438212094654;0.0;0.0589553118736;
главное;0.0;0.375939849624;0.0;
