'(''s'', ''v'', ''pr'', ''s'')'	35	12
'(''s'', ''pr'', ''a'', ''s'')'	29	8
'(''v'', ''pr'', ''s'', ''s'')'	25	8
'(''a'', ''s'', ''pr'', ''s'')'	25	5
'(''s'', ''pr'', ''s'', ''v'')'	25	5
'(''pr'', ''s'', ''pr'', ''s'')'	22	5
'(''a'', ''conj'', ''a'', ''s'')'	21	3
'(''a'', ''s'', ''a'', ''s'')'	19	3
'(''a'', ''s'', ''pr'', ''a'')'	18	3
'(''s'', ''s'', ''pr'', ''s'')'	18	5
'(''v'', ''pr'', ''a'', ''s'')'	17	
'(''pr'', ''s'', ''a'', ''s'')'	16	
'(''a'', ''s'', ''v'', ''s'')'	16	
'(''s'', ''s'', ''s'', ''s'')'	16	
'(''s'', ''v'', ''a'', ''s'')'	16	
'(''pr'', ''a'', ''a'', ''s'')'	15	
'(''s'', ''pr'', ''s'', ''conj'')'	15	
'(''pr'', ''s'', ''v'', ''s'')'	15	
'(''a'', ''s'', ''v'', ''pr'')'	15	
'(''s'', ''s'', ''v'', ''pr'')'	14	
'(''s'', ''pr'', ''s'', ''s'')'	14	
'(''s'', ''conj'', ''s'', ''s'')'	14	
'(''v'', ''pr'', ''s'', ''pr'')'	14	
'(''s'', ''v'', ''pr'', ''a'')'	14	
'(''s'', ''a'', ''s'', ''s'')'	13	
'(''s'', ''v'', ''s'', ''conj'')'	13	
'(''pr'', ''s'', ''v'', ''pr'')'	13	
'(''conj'', ''v'', ''pr'', ''s'')'	13	
'(''adv'', ''v'', ''pr'', ''s'')'	13	
'(''s'', ''s'', ''conj'', ''s'')'	13	
'(''s'', ''s'', ''pr'', ''a'')'	13	
'(''a'', ''s'', ''s'', ''s'')'	13	
'(''s'', ''v'', ''s'', ''s'')'	12	
'(''a'', ''s'', ''conj'', ''s'')'	12	
'(''conj'', ''a'', ''s'', ''s'')'	12	
'(''s'', ''pr'', ''s'', ''pr'')'	12	
'(''s'', ''v'', ''s'', ''v'')'	12	
'(''v'', ''pr'', ''s'', ''a'')'	12	
'(''v'', ''s'', ''pr'', ''s'')'	12	
'(''a'', ''s'', ''s'', ''pr'')'	12	
'(''s'', ''conj'', ''pr'', ''s'')'	11	
'(''s'', ''s'', ''a'', ''s'')'	11	
'(''v'', ''pr'', ''s'', ''conj'')'	11	
'(''pr'', ''s'', ''s'', ''pr'')'	11	
'(''pr'', ''s'', ''s'', ''v'')'	11	
'(''s'', ''a'', ''s'', ''a'')'	11	
'(''v'', ''s'', ''s'', ''s'')'	10	
'(''pr'', ''a'', ''s'', ''v'')'	10	
'(''s'', ''v'', ''conj'', ''v'')'	10	
'(''s'', ''pr'', ''apro'', ''s'')'	10	
'(''s'', ''a'', ''a'', ''s'')'	10	
'(''s'', ''conj'', ''a'', ''s'')'	10	
'(''s'', ''conj'', ''s'', ''v'')'	10	
'(''pr'', ''a'', ''s'', ''pr'')'	10	
'(''v'', ''pr'', ''s'', ''v'')'	9	
'(''s'', ''s'', ''s'', ''v'')'	9	
'(''s'', ''s'', ''s'', ''conj'')'	9	
'(''a'', ''a'', ''s'', ''v'')'	9	
'(''pr'', ''a'', ''s'', ''s'')'	9	
'(''v'', ''a'', ''s'', ''pr'')'	9	
'(''s'', ''s'', ''s'', ''pr'')'	9	
'(''s'', ''a'', ''s'', ''v'')'	9	
'(''s'', ''s'', ''v'', ''s'')'	9	
'(''a'', ''s'', ''s'', ''v'')'	9	
'(''s'', ''adv'', ''v'', ''s'')'	9	
'(''s'', ''a'', ''s'', ''pr'')'	9	
'(''adv'', ''v'', ''a'', ''s'')'	9	
