 	'(''a'', ''conj'', ''a'', ''s'')'	'(''a'', ''s'', ''a'', ''s'')'	'(''a'', ''s'', ''pr'', ''a'')'	'(''a'', ''s'', ''pr'', ''s'')'	'(''a'', ''s'', ''v'', ''pr'')'	'(''s'', ''v'', ''pr'', ''s'')'	'(''pr'', ''a'', ''a'', ''s'')'	'(''v'', ''pr'', ''s'', ''s'')'	'(''pr'', ''s'', ''pr'', ''s'')'	'(''s'', ''s'', ''pr'', ''s'')'	'(''v'', ''spro'', ''v'', ''s'')'	'(''v'', ''s'', ''spro'', ''v'')'	'(''s'', ''pr'', ''a'', ''s'')'	'(''s'', ''s'', ''s'', ''s'')'	'(''s'', ''s'', ''v'', ''pr'')'	'(''s'', ''pr'', ''s'', ''v'')'
SuS	0,0588235294	0,0588235294	0,0588235294	0,0980392157	0,0392156863	0,2352941176	0	0,1568627451	0,0980392157	0,0980392157	0,137254902	0,2156862745	0,1568627451	0,0392156863	0,0588235294	0,0980392157
NonSus	0,75	0,7142857143	0,6071428571	0,9285714286	0,5357142857	1,2142857143	0,5357142857	0,8214285714	0,7857142857	0,6428571429	0,0357142857	0,0714285714	1	0,5714285714	0,5	0,8214285714
