 	'(''a'', ''conj'', ''a'', ''s'')'	'(''a'', ''s'', ''a'', ''s'')'	'(''a'', ''s'', ''pr'', ''a'')'	'(''a'', ''s'', ''pr'', ''s'')'	'(''a'', ''s'', ''v'', ''pr'')'	'(''a'', ''s'', ''v'', ''s'')'	'(''pr'', ''a'', ''a'', ''s'')'	'(''pr'', ''s'', ''a'', ''s'')'	'(''pr'', ''s'', ''pr'', ''s'')'	'(''pr'', ''s'', ''v'', ''s'')'	'(''s'', ''conj'', ''v'', ''pr'')'	'(''s'', ''conj'', ''v'', ''s'')'	'(''s'', ''pr'', ''a'', ''s'')'	'(''s'', ''pr'', ''s'', ''conj'')'	'(''s'', ''pr'', ''s'', ''s'')'	'(''s'', ''pr'', ''s'', ''v'')'	'(''s'', ''s'', ''pr'', ''s'')'	'(''s'', ''s'', ''s'', ''s'')'	'(''s'', ''s'', ''v'', ''pr'')'	'(''s'', ''s'', ''v'', ''spro'')'	'(''s'', ''spro'', ''part'', ''v'')'	'(''s'', ''spro'', ''v'', ''pr'')'	'(''s'', ''v'', ''a'', ''s'')'	'(''s'', ''v'', ''pr'', ''s'')'	'(''s'', ''v'', ''s'', ''s'')'	'(''spro'', ''v'', ''pr'', ''s'')'	'(''v'', ''pr'', ''a'', ''s'')'	'(''v'', ''pr'', ''s'', ''conj'')'	'(''v'', ''pr'', ''s'', ''s'')'	'(''v'', ''s'', ''conj'', ''v'')'	'(''v'', ''s'', ''pr'', ''s'')'	'(''v'', ''s'', ''s'', ''v'')'	'(''v'', ''s'', ''spro'', ''v'')'	'(''v'', ''spro'', ''v'', ''s'')'
S34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
S35	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
S36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
S37	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
S39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
S40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S41	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
S42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0
S44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
S48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0
S50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	1	3	0	0	1
	0,0588235294	0,0588235294	0,0588235294	0,0980392157	0,0392156863	0,1960784314	0	0,1568627451	0,0980392157	0,1568627451	0,1568627451	0,1764705882	0,1568627451	0,1176470588	0,1764705882	0,0980392157	0,0980392157	0,0392156863	0,0588235294	0,137254902	0,2156862745	0,2352941176	0,137254902	0,2352941176	0,1568627451	0,1960784314	0,1176470588	0,1960784314	0,1568627451	0,1568627451	0,2156862745	0,1568627451	0,2156862745	0,137254902
